country,sitename,province,locname,loclong,loclat,recs,presses,post_0,ante_0,post_1,ante_1
Croatia,Peroj,Italia,Lacusa,13.797308,44.952534,1,2,-999,999,-999,999
Croatia,Peroj,Italia,Salvella,13.797308,44.952534,1,2,-999,999,-999,999
Croatia,Pula,Italia,Sijana,13.86391,44.879442,1,3,-999,999,-999,999
Croatia,Pula,Italia,"via Kranjcevic",13.85,44.8666666,1,1,-999,999,-999,999
Croatia,Rovinj,Italia,Chiubani,13.635872,45.081293,1,2,-999,999,-999,999
Croatia,Rovinj,Italia,"Porto Vestre",13.688423,45.051192,1,2,-999,999,-999,999
Croatia,Sisan,Italia,"Stanzia Usic",13.943081,44.851109,1,2,100,300,100,300
Croatia,Svetvincenat,Italia,"Jursici (Roveria)",13.875867,45.021582,1,2,-999,999,-999,999
Croatia,Trieste,Italia,"San Sabba",13.8,45.6333333,1,2,-999,999,-999,999
Egypt,"Borg el-Arab",Aegyptus,none,29.61166667,30.8488888,1,2,-999,999,-999,999
France,Candeou,"Gallia Aquitania",Peymenede,6.87888888,43.63,1,4,1,300,1,300
France,Combe-de-Fignols,"Gallia Aquitania",none,3.15694444,48.1755555,1,2,-999,999,-999,999
France,Encoron,"Gallia Aquitania",Trets,5.68444444,43.4469444,1,2,-999,999,-999,999
France,Grand-Loou,"Gallia Aquitania","La Roquebrusanne",5.97611111,43.34,1,2,-50,200,-50,200
France,"La Domergue","Gallia Aquitania",Sauvian,3.24166666,43.3016666,1,2,-999,999,-999,999
France,"Le Molard","Gallia Aquitania",Donzere,4.70638888,44.4441666,1,4,70,96,200,300
France,"Les Farguettes","Gallia Aquitania",Nissan,3.11472222,43.3105555,1,2,-999,999,-999,999
France,"Les Toulons","Gallia Aquitania",Rians,5.71083333,43.6175,1,5,-999,999,350,425
France,Mas-de-la-Grange,"Gallia Aquitania","St.Etienne du Gres",4.7225,43.7802777,1,2,-999,999,-999,999
France,Maurely,"Gallia Aquitania",St.-Antonin,5.64888888,43.6111111,1,2,-999,999,-999,999
France,"Notre Dame de la Mure","Gallia Narbonensis",Erome,4.81972222,45.1208333,1,2,1,199,1,199
France,Pignans,"Gallia Aquitania",none,6.21666666,43.2999998,1,4,-999,999,-999,999
France,"Rue du Port","Gallia Aquitania",Cavalaire,6.53194444,43.1711111,1,4,70,399,70,399
France,Saint-Martin,"Gallia Aquitania",Taradeau,6.43527777,43.4472222,1,3,-50,599,-50,599
France,"St. Michelle a la Garde","Gallia Aquitania",none,4.75555555,44.3930555,1,7,-50,9999,-999,999
Germany,Brauneberg,"Germania Superior",none,6.9875,49.9091666,1,2,300,9999,-999,999
Greece,Delos,Graecia,none,25.266456,37.397965,1,2,-100,-75,-69,-50
Greece,Delos,Graecia,none,25.27405,37.406013,1,2,-999,999,-75,-69
Israel,Avdon,Iudaea,Shaumariya,35.191283,33.048594,1,2,-999,999,-999,999
Israel,Avedat,Iudaea,none,36.77222222,30.7930555,1,2,-999,999,-999,999
Israel,Ya'ara,Iudaea,"Horvat Zabadi",35.168092,33.065423,1,2,-999,999,-999,999
Italy,Blera,Italia,"Pian della Noce",12.03333333,42.2833333,1,2,-100,1,300,400
Italy,Boscoreale,Italia,"Villa Pisanella",14.477606,40.766229,1,2,-100,-50,79,79
Italy,Cerveteri,Italia,"Villa del Seccareccio",12.1,42.0,1,2,-100,200,-100,200
Italy,"Cesena di Senigallia",Italia,none,13.21666667,43.7166666,1,2,-50,1,25,75
Italy,Cosa,Italia,Settefinestre,11.31694444,42.4466666,1,4,-999,999,-999,999
Italy,Cosa,Italia,"Via della Fattoria",11.28444444,42.4172222,1,4,-999,999,-999,999
Italy,"Fiano Romano",Italia,"Fondo Nocioni-Gigliotti",12.580671,42.134065,1,2,-999,999,-999,999
